Name,Rating,Review,Salaries,Interviews,Jobs,Benefits,Photos
Escorts Kubota Limited,4.1,(4.1k),14.1k,324,12,292,27
Oyo Rooms,3.0,(4k),13k,272,201,398,14
Maersk,3.9,(4k),20.3k,258,285,448,26
ADP Private Limited,3.8,(4k),22.3k,310,15,481,16
Viatris,4.1,(4k),14.6k,174,12,515,13
Synechron,3.4,(4k),29.5k,423,148,269,10
XpressBees,4.1,(4k),8.4k,453,5,165,28
Birlasoft,3.4,(4k),29.5k,325,517,264,8
Altruist Technologies,4.3,(4k),8.5k,729,3,86,6
Glenmark Pharmaceuticals,3.8,(4k),12.5k,209,151,347,3
PVR INOX,3.8,(4k),9.7k,228,19,254,5
Kotak Mahindra Life Insurance Company,3.4,(3.9k),13.1k,275,276,276,6
Bharat Electronics,4.2,(3.9k),13k,265,--,322,1
Sodexo,4.0,(3.9k),10.3k,222,1.8k,376,28
UNO Minda,3.9,(3.9k),12.1k,293,126,323,7
ArcelorMittal Nippon Steel India,4.1,(3.9k),13.5k,292,296,142,6
Cogent E Services,3.1,(3.9k),10.5k,304,3,226,15
Dabur,3.8,(3.9k),9.3k,358,35,288,5
Reliance Communications,4.0,(3.9k),9.4k,111,--,359,1
Godrej & Boyce Manufacturing,3.8,(3.8k),15.6k,251,28,413,4
Aarti Industries,4.1,(3.8k),14.7k,346,65,371,6
Abbott,4.1,(3.8k),12.3k,196,207,376,8
Ipca Laboratories,3.8,(3.8k),11.8k,231,40,257,4
MRF Tyres,3.6,(3.8k),13.1k,403,16,360,9
Samvardhana Motherson Group,3.7,(3.7k),11.9k,267,30,420,11
Reliance Digital,4.1,(3.7k),8.4k,192,--,262,28
IGT Solutions,3.1,(3.7k),13.9k,266,185,232,14
Indian Oil Corporation,4.3,(3.7k),8k,253,--,310,37
Tata Electronics,3.8,(3.7k),14.5k,320,45,146,7
Reliance Projects & Property Management Services,4.0,(3.7k),7.7k,221,--,38,8
Alkem Laboratories,3.9,(3.7k),10.3k,210,63,330,2
TVS Credit Services Ltd,4.1,(3.7k),7.8k,180,49,204,13
Vishal Mega Mart,3.7,(3.7k),6.4k,230,3,281,13
"NTT DATA, Inc.",3.9,(3.7k),21k,164,135,269,7
Sagility,3.9,(3.7k),14.4k,317,67,144,85
Honda Motorcycle & Scooter,4.1,(3.7k),11.4k,220,13,352,9
Johnson Controls,3.6,(3.7k),18.1k,315,--,279,28
Barclays,3.7,(3.6k),35.3k,336,--,280,28
ABB,4.0,(3.6k),19.4k,339,468,398,6
Bajaj General Insurance Limited,3.6,(3.6k),11.1k,149,18,253,9
[24]7.ai,3.4,(3.6k),11.7k,207,60,425,10
DTDC Express,3.7,(3.6k),9k,213,30,271,3
Hindustan Coca Cola Beverages,4.0,(3.6k),8.1k,199,97,389,4
RSPL Group,4.0,(3.6k),10.1k,282,110,313,8
AGS Health,3.9,(3.6k),15.6k,228,74,304,--
UBS,3.7,(3.6k),32.4k,383,--,135,11
Ceat Tyres,3.9,(3.6k),13.2k,219,47,357,8
IndusInd Nippon Life Insurance,3.3,(3.6k),8.1k,176,16,223,14
NatWest Group,3.9,(3.5k),22.3k,248,5,385,11
Croma,3.8,(3.5k),10.1k,202,52,211,11
Alstom Transportation,3.7,(3.5k),16.2k,297,174,199,8
Ford Motor,4.2,(3.5k),15.7k,183,3,409,12
Niva Bupa Health Insurance Company,3.9,(3.5k),9.1k,392,236,143,13
